l,m,Clm,Slm,sigmaClm,sigmaSlm
2,0,-0.000484165143790815,0.0,7.48123949e-12,0.0
2,1,-2.06615509074176e-10,1.3844138913797901e-09,7.063781502e-12,7.348347201e-12
2,2,2.43938357328313e-06,-1.40027370385934e-06,7.230231722e-12,7.425816951e-12
3,0,9.57161207093473e-07,0.0,5.731430751e-12,0.0
3,1,2.03046201047864e-06,2.48200415856872e-07,5.726633183e-12,5.976692146e-12
3,2,9.04787894809528e-07,-6.19005475177618e-07,6.374776928e-12,6.401837794e-12
3,3,7.21321757121568e-07,1.41434926192941e-06,6.029131793e-12,6.028311182e-12
4,0,5.39965866638991e-07,0.0,4.431111968e-12,0.0
4,1,-5.36157389388867e-07,-4.73567346518086e-07,4.568074333e-12,4.68404349e-12
4,2,3.50501623962649e-07,6.62480026275829e-07,5.30784032e-12,5.18609853e-12
4,3,9.90856766672321e-07,-2.00956723567452e-07,5.631952953e-12,5.620296098e-12
4,4,-1.88519633023033e-07,3.08803882149194e-07,5.372877167e-12,5.383247677e-12
5,0,6.86702913736681e-08,0.0,2.910198425e-12,0.0
5,1,-6.29211923042529e-08,-9.43698073395769e-08,2.989077566e-12,3.143313186e-12
5,2,6.52078043176164e-07,-3.23353192540522e-07,3.822796143e-12,3.642768431e-12
5,3,-4.51847152328843e-07,-2.14955408306046e-07,4.725934077e-12,4.688985442e-12
5,4,-2.95328761175629e-07,4.98070550102351e-08,5.332198489e-12,5.302621028e-12
5,5,1.74811795496002e-07,-6.69379935180165e-07,4.980396595e-12,4.981027282e-12
6,0,-1.49953927978527e-07,0.0,2.035490195e-12,0.0
6,1,-7.59210081892527e-08,2.65122593213647e-08,2.085980159e-12,2.193954647e-12
6,2,4.8648892460469e-08,-3.73789324523752e-07,2.603949443e-12,2.466506184e-12
6,3,5.72451611175653e-08,8.9520113001073e-09,3.380286162e-12,3.347204566e-12
6,4,-8.60237937191611e-08,-4.71425573429095e-07,4.535102219e-12,4.489428324e-12
6,5,-2.67166423703038e-07,-5.36493151500206e-07,5.097794605e-12,5.101153019e-12
6,6,9.47068749756882e-09,-2.37382353351005e-07,4.731651005e-12,4.728357086e-12
7,0,9.05120844521618e-08,0.0,1.542363963e-12,0.0
7,1,2.80887555776673e-07,9.51259362869275e-08,1.561721696e-12,1.65677922e-12
7,2,3.30407993702235e-07,9.29969290624092e-08,1.917954909e-12,1.813082652e-12
7,3,2.50458409225729e-07,-2.1711828772961e-07,2.421172504e-12,2.406891912e-12
7,4,-2.74993935591631e-07,-1.24058403514343e-07,3.384737305e-12,3.327030779e-12
7,5,1.6477325593465801e-09,1.79281782751438e-08,4.372616383e-12,4.378544108e-12
7,6,-3.58798423464889e-07,1.51798257443669e-07,5.033507782e-12,5.024794147e-12
7,7,1.5074647287267501e-09,2.41068767286303e-08,4.572229702e-12,4.5707464e-12
8,0,4.94756003005199e-08,0.0,1.237051133e-12,0.0
8,1,2.31607991248329e-08,5.88974540927606e-08,1.241750465e-12,1.326654814e-12
8,2,8.00143604736599e-08,6.52805043667369e-08,1.494951534e-12,1.411005252e-12
8,3,-1.9374538171529e-08,-8.59639339125694e-08,1.864101313e-12,1.850301061e-12
8,4,-2.44360480007096e-07,6.98072508472777e-08,2.597222975e-12,2.556744174e-12
8,5,-2.57011477267991e-08,8.92034891745881e-08,3.210497723e-12,3.217620934e-12
8,6,-6.59648680031408e-08,3.08946730783065e-07,4.312331128e-12,4.296497239e-12
